Campo,Data,Valore,Tipo,UdM,Tesi,Sorgente,Note,Year,Week
Kiwi 1,2023-10-10,55.30,Calibro del frutto,mm,T2,Slide 9,,2023,42
Kiwi 1,2023-10-10,143.00,Peso,g/frutto,T0,Slide 9,,2023,42
Kiwi 1,2023-10-10,143.00,Peso,g/frutto,T1,Slide 9,,2023,42
Kiwi 1,2023-10-10,155.00,Peso,g/frutto,T2,Slide 9,,2023,42
Kiwi 1,2023-10-10,17.40,Sostanza secca,%,T0,Slide 9,,2023,42
Kiwi 1,2023-10-10,18.20,Sostanza secca,%,T1,Slide 9,,2023,42
Kiwi 1,2023-10-10,17.20,Sostanza secca,%,T2,Slide 9,,2023,42
Kiwi 1,2023-12-20,0.69,Durezza,Kg FTA,T0,Slide 13.1,2 mesi di frigo + 24h,2023,52
Kiwi 1,2023-12-20,0.68,Durezza,Kg FTA,T1,Slide 13.1,2 mesi di frigo + 24h,2023,52
Kiwi 1,2023-12-20,0.76,Durezza,Kg FTA,T2,Slide 13.1,2 mesi di frigo + 24h,2023,52
Kiwi 1,2023-12-20,17.00,"Durezza (Normale, ≥ 0.8)",%,T0,Slide 13.1,2 mesi di frigo + 24h,2023,52
Kiwi 1,2023-12-20,25.00,"Durezza (Normale, ≥ 0.8)",%,T1,Slide 13.1,2 mesi di frigo + 24h,2023,52
Kiwi 1,2023-12-20,15.00,"Durezza (Normale, ≥ 0.8)",%,T2,Slide 13.1,2 mesi di frigo + 24h,2023,52
Kiwi 1,2023-12-20,83.00,"Durezza (Soft, <0,8 and ≥ 0,2 kg)",%,T0,Slide 13.1,2 mesi di frigo + 24h,2023,52
Kiwi 1,2023-12-20,75.00,"Durezza (Soft, <0,8 and ≥ 0,2 kg)",%,T1,Slide 13.1,2 mesi di frigo + 24h,2023,52
Kiwi 1,2023-12-20,85.00,"Durezza (Soft, <0,8 and ≥ 0,2 kg)",%,T2,Slide 13.1,2 mesi di frigo + 24h,2023,52
Kiwi 1,2023-12-20,0.00,"Durezza (Sovra maturo, < 0,2)",%,T0,Slide 13.1,2 mesi di frigo + 24h,2023,52
Kiwi 1,2023-12-20,0.00,"Durezza (Sovra maturo, < 0,2)",%,T1,Slide 13.1,2 mesi di frigo + 24h,2023,52
Kiwi 1,2023-12-20,0.00,"Durezza (Sovra maturo, < 0,2)",%,T2,Slide 13.1,2 mesi di frigo + 24h,2023,52
Kiwi 1,2023-12-20,15.20,RSR,° brix,T0,Slide 13.1,2 mesi di frigo + 24h,2023,52
Kiwi 1,2023-12-20,15.90,RSR,° brix,T1,Slide 13.1,2 mesi di frigo + 24h,2023,52
Kiwi 1,2023-12-20,14.70,RSR,° brix,T2,Slide 13.1,2 mesi di frigo + 24h,2023,52
Kiwi 1,2023-12-20,18.20,Sostanza secca,%,T0,Slide 13.1,2 mesi di frigo + 24h,2023,52
Kiwi 1,2023-12-20,19.00,Sostanza secca,%,T1,Slide 13.1,2 mesi di frigo + 24h,2023,52
Kiwi 1,2023-12-20,17.50,Sostanza secca,%,T2,Slide 13.1,2 mesi di frigo + 24h,2023,52
Kiwi 1,2023-12-20,0.35,Durezza,Kg FTA,T0,Slide 13.2,2 mesi di frigo + 3gg shelf life,2023,52
Kiwi 1,2023-12-20,0.40,Durezza,Kg FTA,T1,Slide 13.2,2 mesi di frigo + 3gg shelf life,2023,52
Kiwi 1,2023-12-20,0.29,Durezza,Kg FTA,T2,Slide 13.2,2 mesi di frigo + 3gg shelf life,2023,52
Kiwi 1,2023-12-20,0.00,"Durezza (Normale, ≥ 0.8)",%,T0,Slide 13.2,2 mesi di frigo + 3gg shelf life,2023,52
Kiwi 1,2023-12-20,0.00,"Durezza (Normale, ≥ 0.8)",%,T1,Slide 13.2,2 mesi di frigo + 3gg shelf life,2023,52
Kiwi 1,2023-12-20,0.00,"Durezza (Normale, ≥ 0.8)",%,T2,Slide 13.2,2 mesi di frigo + 3gg shelf life,2023,52
Kiwi 1,2023-12-20,92.00,"Durezza (Soft, <0,8 and ≥ 0,2 kg)",%,T0,Slide 13.2,2 mesi di frigo + 3gg shelf life,2023,52
Kiwi 1,2023-12-20,98.00,"Durezza (Soft, <0,8 and ≥ 0,2 kg)",%,T1,Slide 13.2,2 mesi di frigo + 3gg shelf life,2023,52
Kiwi 1,2023-12-20,68.00,"Durezza (Soft, <0,8 and ≥ 0,2 kg)",%,T2,Slide 13.2,2 mesi di frigo + 3gg shelf life,2023,52
Kiwi 1,2023-12-20,8.00,"Durezza (Sovra maturo, < 0,2)",%,T0,Slide 13.2,2 mesi di frigo + 3gg shelf life,2023,52
Kiwi 1,2023-12-20,2.00,"Durezza (Sovra maturo, < 0,2)",%,T1,Slide 13.2,2 mesi di frigo + 3gg shelf life,2023,52
Kiwi 1,2023-12-20,33.00,"Durezza (Sovra maturo, < 0,2)",%,T2,Slide 13.2,2 mesi di frigo + 3gg shelf life,2023,52
Kiwi 1,2023-12-20,15.60,RSR,° brix,T0,Slide 13.2,2 mesi di frigo + 3gg shelf life,2023,52
Kiwi 1,2023-12-20,16.40,RSR,° brix,T1,Slide 13.2,2 mesi di frigo + 3gg shelf life,2023,52
Kiwi 1,2023-12-20,14.90,RSR,° brix,T2,Slide 13.2,2 mesi di frigo + 3gg shelf life,2023,52
Kiwi 1,2023-12-20,15.90,Sostanza secca,%,T0,Slide 13.2,2 mesi di frigo + 3gg shelf life,2023,52
Kiwi 1,2023-12-20,16.60,Sostanza secca,%,T1,Slide 13.2,2 mesi di frigo + 3gg shelf life,2023,52
Kiwi 1,2023-12-20,16.20,Sostanza secca,%,T2,Slide 13.2,2 mesi di frigo + 3gg shelf life,2023,52
Kiwi 1,2024-02-12,0.39,Durezza,Kg FTA,T0,Slide 15.1,4 mesi di frigo + 24h,2024,8
Kiwi 1,2024-02-12,0.49,Durezza,Kg FTA,T1,Slide 15.1,4 mesi di frigo + 24h,2024,8
Kiwi 1,2024-02-12,0.52,Durezza,Kg FTA,T2,Slide 15.1,4 mesi di frigo + 24h,2024,8
Kiwi 1,2024-02-12,0.00,"Durezza (Normale, ≥ 0.8)",%,T0,Slide 15.1,4 mesi di frigo + 24h,2024,8
Kiwi 1,2024-02-12,0.00,"Durezza (Normale, ≥ 0.8)",%,T1,Slide 15.1,4 mesi di frigo + 24h,2024,8
Kiwi 1,2024-02-12,0.00,"Durezza (Normale, ≥ 0.8)",%,T2,Slide 15.1,4 mesi di frigo + 24h,2024,8
Kiwi 1,2024-02-12,81.30,"Durezza (Soft, <0,8 and ≥ 0,2 kg)",%,T0,Slide 15.1,4 mesi di frigo + 24h,2024,8
Kiwi 1,2024-02-12,100.00,"Durezza (Soft, <0,8 and ≥ 0,2 kg)",%,T1,Slide 15.1,4 mesi di frigo + 24h,2024,8
Kiwi 1,2024-02-12,100.00,"Durezza (Soft, <0,8 and ≥ 0,2 kg)",%,T2,Slide 15.1,4 mesi di frigo + 24h,2024,8
Kiwi 1,2024-02-12,18.70,"Durezza (Sovra maturo, < 0,2)",%,T0,Slide 15.1,4 mesi di frigo + 24h,2024,8
Kiwi 1,2024-02-12,0.00,"Durezza (Sovra maturo, < 0,2)",%,T1,Slide 15.1,4 mesi di frigo + 24h,2024,8
Kiwi 1,2024-02-12,0.00,"Durezza (Sovra maturo, < 0,2)",%,T2,Slide 15.1,4 mesi di frigo + 24h,2024,8
Kiwi 1,2024-02-12,14.50,RSR,° brix,T0,Slide 15.1,4 mesi di frigo + 24h,2024,8
Kiwi 1,2024-02-12,15.70,RSR,° brix,T1,Slide 15.1,4 mesi di frigo + 24h,2024,8
Kiwi 1,2024-02-12,15.20,RSR,° brix,T2,Slide 15.1,4 mesi di frigo + 24h,2024,8
Kiwi 1,2024-02-12,16.40,Sostanza secca,%,T0,Slide 15.1,4 mesi di frigo + 24h,2024,8
Kiwi 1,2024-02-12,17.70,Sostanza secca,%,T1,Slide 15.1,4 mesi di frigo + 24h,2024,8
Kiwi 1,2024-02-12,16.90,Sostanza secca,%,T2,Slide 15.1,4 mesi di frigo + 24h,2024,8
Kiwi 1,2024-02-12,0.28,Durezza,Kg FTA,T0,Slide 15.2,4 mesi di frigo + 3gg shelf life,2024,8
Kiwi 1,2024-02-12,0.34,Durezza,Kg FTA,T1,Slide 15.2,4 mesi di frigo + 3gg shelf life,2024,8
Kiwi 1,2024-02-12,0.37,Durezza,Kg FTA,T2,Slide 15.2,4 mesi di frigo + 3gg shelf life,2024,8
Kiwi 1,2024-02-12,0.00,"Durezza (Normale, ≥ 0.8)",%,T0,Slide 15.2,4 mesi di frigo + 3gg shelf life,2024,8
Kiwi 1,2024-02-12,0.00,"Durezza (Normale, ≥ 0.8)",%,T1,Slide 15.2,4 mesi di frigo + 3gg shelf life,2024,8
Kiwi 1,2024-02-12,0.00,"Durezza (Normale, ≥ 0.8)",%,T2,Slide 15.2,4 mesi di frigo + 3gg shelf life,2024,8
Kiwi 1,2024-02-12,70.80,"Durezza (Soft, <0,8 and ≥ 0,2 kg)",%,T0,Slide 15.2,4 mesi di frigo + 3gg shelf life,2024,8
Kiwi 1,2024-02-12,89.60,"Durezza (Soft, <0,8 and ≥ 0,2 kg)",%,T1,Slide 15.2,4 mesi di frigo + 3gg shelf life,2024,8
Kiwi 1,2024-02-12,87.50,"Durezza (Soft, <0,8 and ≥ 0,2 kg)",%,T2,Slide 15.2,4 mesi di frigo + 3gg shelf life,2024,8
Kiwi 1,2024-02-12,29.20,"Durezza (Sovra maturo, < 0,2)",%,T0,Slide 15.2,4 mesi di frigo + 3gg shelf life,2024,8
Kiwi 1,2024-02-12,10.40,"Durezza (Sovra maturo, < 0,2)",%,T1,Slide 15.2,4 mesi di frigo + 3gg shelf life,2024,8
Kiwi 1,2024-02-12,12.50,"Durezza (Sovra maturo, < 0,2)",%,T2,Slide 15.2,4 mesi di frigo + 3gg shelf life,2024,8
Kiwi 1,2024-02-12,14.50,RSR,° brix,T0,Slide 15.2,4 mesi di frigo + 3gg shelf life,2024,8
Kiwi 1,2024-02-12,16.20,RSR,° brix,T1,Slide 15.2,4 mesi di frigo + 3gg shelf life,2024,8
Kiwi 1,2024-02-12,15.80,RSR,° brix,T2,Slide 15.2,4 mesi di frigo + 3gg shelf life,2024,8
Kiwi 1,2024-02-12,15.70,Sostanza secca,%,T0,Slide 15.2,4 mesi di frigo + 3gg shelf life,2024,8
Kiwi 1,2024-02-12,16.70,Sostanza secca,%,T1,Slide 15.2,4 mesi di frigo + 3gg shelf life,2024,8
Kiwi 1,2024-02-12,16.20,Sostanza secca,%,T2,Slide 15.2,4 mesi di frigo + 3gg shelf life,2024,8
Kiwi 1,2024-06-21,47.00,Calibro del frutto,mm,T0,Tabella 4,,2024,26
Kiwi 1,2024-06-21,49.00,Calibro del frutto,mm,T1,Tabella 4,,2024,26
Kiwi 1,2024-06-21,47.00,Calibro del frutto,mm,T2,Tabella 4,,2024,26
Kiwi 1,2024-06-21,-2.79,Potenziale idrico del fusto,bar,T0,Tabella 3,,2024,26
Kiwi 1,2024-06-21,-3.85,Potenziale idrico del fusto,bar,T1,Tabella 3,,2024,26
Kiwi 1,2024-06-21,-2.90,Potenziale idrico del fusto,bar,T2,Tabella 3,,2024,26
Kiwi 1,2024-06-21,6.90,Sostanza secca,%,T0,Tabella 5,,2024,26
Kiwi 1,2024-06-21,7.00,Sostanza secca,%,T1,Tabella 5,,2024,26
Kiwi 1,2024-06-21,7.00,Sostanza secca,%,T2,Tabella 5,,2024,26
Kiwi 1,2024-07-12,50.00,Calibro del frutto,mm,T0,Tabella 4,,2024,28
Kiwi 1,2024-07-12,50.00,Calibro del frutto,mm,T1,Tabella 4,,2024,28
Kiwi 1,2024-07-12,52.00,Calibro del frutto,mm,T2,Tabella 4,,2024,28
Kiwi 1,2024-07-12,-3.76,Potenziale idrico del fusto,bar,T0,Tabella 3,,2024,28
Kiwi 1,2024-07-12,-3.90,Potenziale idrico del fusto,bar,T1,Tabella 3,,2024,28
Kiwi 1,2024-07-12,-4.26,Potenziale idrico del fusto,bar,T2,Tabella 3,,2024,28
Kiwi 1,2024-07-12,11.00,Sostanza secca,%,T0,Tabella 5,,2024,28
Kiwi 1,2024-07-12,11.30,Sostanza secca,%,T1,Tabella 5,,2024,28
Kiwi 1,2024-07-12,11.00,Sostanza secca,%,T2,Tabella 5,,2024,28
Kiwi 1,2024-08-01,52.00,Calibro del frutto,mm,T0,Tabella 4,,2024,32
Kiwi 1,2024-08-01,53.00,Calibro del frutto,mm,T1,Tabella 4,,2024,32
Kiwi 1,2024-08-01,51.00,Calibro del frutto,mm,T2,Tabella 4,,2024,32
Kiwi 1,2024-08-01,-3.13,Potenziale idrico del fusto,bar,T0,Tabella 3,,2024,32
Kiwi 1,2024-08-01,-3.86,Potenziale idrico del fusto,bar,T1,Tabella 3,,2024,32
Kiwi 1,2024-08-01,-3.34,Potenziale idrico del fusto,bar,T2,Tabella 3,,2024,32
Kiwi 1,2024-08-01,13.60,Sostanza secca,%,T0,Tabella 5,,2024,32
Kiwi 1,2024-08-01,14.00,Sostanza secca,%,T1,Tabella 5,,2024,32
Kiwi 1,2024-08-01,14.10,Sostanza secca,%,T2,Tabella 5,,2024,32
Kiwi 1,2024-08-20,53.00,Calibro del frutto,mm,T0,Tabella 4,,2024,34
Kiwi 1,2024-08-20,55.00,Calibro del frutto,mm,T1,Tabella 4,,2024,34
Kiwi 1,2024-08-20,52.00,Calibro del frutto,mm,T2,Tabella 4,,2024,34
Kiwi 1,2024-08-20,113.00,Colore,H angle,T0,Tabella 7,,2024,34
Kiwi 1,2024-08-20,113.10,Colore,H angle,T1,Tabella 7,,2024,34
Kiwi 1,2024-08-20,113.10,Colore,H angle,T2,Tabella 7,,2024,34
Kiwi 1,2024-08-20,6.34,Durezza,Kg FTA,T0,Tabella 7,,2024,34
Kiwi 1,2024-08-20,6.28,Durezza,Kg FTA,T1,Tabella 7,,2024,34
Kiwi 1,2024-08-20,6.51,Durezza,Kg FTA,T2,Tabella 7,,2024,34
Kiwi 1,2024-08-20,5.62,RSR,° brix,T0,Tabella 7,,2024,34
Kiwi 1,2024-08-20,5.43,RSR,° brix,T1,Tabella 7,,2024,34
Kiwi 1,2024-08-20,6.09,RSR,° brix,T2,Tabella 7,,2024,34
Kiwi 1,2024-08-20,15.70,Sostanza secca,%,T0,Tabella 7,,2024,34
Kiwi 1,2024-08-20,15.70,Sostanza secca,%,T1,Tabella 7,,2024,34
Kiwi 1,2024-08-20,16.70,Sostanza secca,%,T2,Tabella 7,,2024,34
Kiwi 1,2024-9-10,54.00,Calibro del frutto,mm,T0,Tabella 4,,2024,38
Kiwi 1,2024-9-10,55.00,Calibro del frutto,mm,T1,Tabella 4,,2024,38
Kiwi 1,2024-9-10,54.00,Calibro del frutto,mm,T2,Tabella 4,,2024,38
Kiwi 1,2024-9-10,109.80,Colore,H angle,T0,Tabella 7,,2024,38
Kiwi 1,2024-9-10,109.80,Colore,H angle,T1,Tabella 7,,2024,38
Kiwi 1,2024-9-10,109.40,Colore,H angle,T2,Tabella 7,,2024,38
Kiwi 1,2024-9-10,6.10,Durezza,Kg FTA,T0,Tabella 7,,2024,38
Kiwi 1,2024-9-10,6.00,Durezza,Kg FTA,T1,Tabella 7,,2024,38
Kiwi 1,2024-9-10,6.30,Durezza,Kg FTA,T2,Tabella 7,,2024,38
Kiwi 1,2024-9-10,6.47,RSR,° brix,T0,Tabella 7,,2024,38
Kiwi 1,2024-9-10,6.87,RSR,° brix,T1,Tabella 7,,2024,38
Kiwi 1,2024-9-10,6.85,RSR,° brix,T2,Tabella 7,,2024,38
Kiwi 1,2024-9-10,17.30,Sostanza secca,%,T0,Tabella 7,,2024,38
Kiwi 1,2024-9-10,17.70,Sostanza secca,%,T1,Tabella 7,,2024,38
Kiwi 1,2024-9-10,18.00,Sostanza secca,%,T2,Tabella 7,,2024,38
Kiwi 1,2024-9-23,54.00,Calibro del frutto,mm,T0,Tabella 4,,2024,40
Kiwi 1,2024-9-23,55.00,Calibro del frutto,mm,T1,Tabella 4,,2024,40
Kiwi 1,2024-9-23,54.00,Calibro del frutto,mm,T2,Tabella 4,,2024,40
Kiwi 1,2024-9-23,104.70,Colore,H angle,T0,Tabella 7,,2024,40
Kiwi 1,2024-9-23,106.20,Colore,H angle,T1,Tabella 7,,2024,40
Kiwi 1,2024-9-23,105.70,Colore,H angle,T2,Tabella 7,,2024,40
Kiwi 1,2024-9-23,6.00,Durezza,Kg FTA,T0,Tabella 7,,2024,40
Kiwi 1,2024-9-23,6.20,Durezza,Kg FTA,T1,Tabella 7,,2024,40
Kiwi 1,2024-9-23,6.30,Durezza,Kg FTA,T2,Tabella 7,,2024,40
Kiwi 1,2024-9-23,8.40,RSR,° brix,T0,Tabella 7,,2024,40
Kiwi 1,2024-9-23,8.20,RSR,° brix,T1,Tabella 7,,2024,40
Kiwi 1,2024-9-23,8.20,RSR,° brix,T2,Tabella 7,,2024,40
Kiwi 1,2024-9-23,18.00,Sostanza secca,%,T0,Tabella 7,,2024,40
Kiwi 1,2024-9-23,17.70,Sostanza secca,%,T1,Tabella 7,,2024,40
Kiwi 1,2024-9-23,18.30,Sostanza secca,%,T2,Tabella 7,,2024,40
Kiwi 1,2024-10-01,54.00,Calibro del frutto,mm,T0,Tabella 4,,2024,40
Kiwi 1,2024-10-01,55.00,Calibro del frutto,mm,T1,Tabella 4,,2024,40
Kiwi 1,2024-10-01,54.00,Calibro del frutto,mm,T2,Tabella 4,,2024,40
Kiwi 1,2024-10-02,104.80,Colore,H angle,T0,Tabella 9,Raccolta commerciale,2024,40
Kiwi 1,2024-10-02,104.90,Colore,H angle,T1,Tabella 9,Raccolta commerciale,2024,40
Kiwi 1,2024-10-02,104.50,Colore,H angle,T2,Tabella 9,Raccolta commerciale,2024,40
Kiwi 1,2024-10-02,6.00,Durezza,Kg FTA,T0,Tabella 9,Raccolta commerciale,2024,40
Kiwi 1,2024-10-02,9.50,Durezza,Kg FTA,T1,Tabella 9,Raccolta commerciale,2024,40
Kiwi 1,2024-10-02,8.62,Durezza,Kg FTA,T2,Tabella 9,Raccolta commerciale,2024,40
Kiwi 1,2024-10-02,47.00,Produzione commerciale,kg/pianta,T0,Tabella 8,Raccolta commerciale,2024,40
Kiwi 1,2024-10-02,142.00,Produzione commerciale,g/frutto,T0,Tabella 8,Raccolta commerciale,2024,40
Kiwi 1,2024-10-02,43.70,Produzione commerciale,kg/pianta,T1,Tabella 8,Raccolta commerciale,2024,40
Kiwi 1,2024-10-02,150.00,Produzione commerciale,g/frutto,T1,Tabella 8,Raccolta commerciale,2024,40
Kiwi 1,2024-10-02,47.30,Produzione commerciale,kg/pianta,T2,Tabella 8,Raccolta commerciale,2024,40
Kiwi 1,2024-10-02,141.00,Produzione commerciale,g/frutto,T2,Tabella 8,Raccolta commerciale,2024,40
Kiwi 1,2024-10-02,1.60,Produzione non commerciale,kg/pianta,T0,Tabella 8,Raccolta commerciale,2024,40
Kiwi 1,2024-10-02,3.40,Produzione non commerciale,%,T0,Tabella 8,Raccolta commerciale,2024,40
Kiwi 1,2024-10-02,1.60,Produzione non commerciale,kg/pianta,T1,Tabella 8,Raccolta commerciale,2024,40
Kiwi 1,2024-10-02,3.50,Produzione non commerciale,%,T1,Tabella 8,Raccolta commerciale,2024,40
Kiwi 1,2024-10-02,1.58,Produzione non commerciale,kg/pianta,T2,Tabella 8,Raccolta commerciale,2024,40
Kiwi 1,2024-10-02,3.30,Produzione non commerciale,%,T2,Tabella 8,Raccolta commerciale,2024,40
Kiwi 1,2024-10-02,48.60,Produzione totale,kg/pianta,T0,Tabella 8,Raccolta commerciale,2024,40
Kiwi 1,2024-10-02,47.30,Produzione totale,t/ha,T0,Tabella 8,Raccolta commerciale,2024,40
Kiwi 1,2024-10-02,45.30,Produzione totale,kg/pianta,T1,Tabella 8,Raccolta commerciale,2024,40
Kiwi 1,2024-10-02,44.00,Produzione totale,t/ha,T1,Tabella 8,Raccolta commerciale,2024,40
Kiwi 1,2024-10-02,48.90,Produzione totale,kg/pianta,T2,Tabella 8,Raccolta commerciale,2024,40
Kiwi 1,2024-10-02,47.50,Produzione totale,t/ha,T2,Tabella 8,Raccolta commerciale,2024,40
Kiwi 1,2024-10-02,8.88,RSR,° brix,T0,Tabella 9,Raccolta commerciale,2024,40
Kiwi 1,2024-10-02,5.90,RSR,° brix,T1,Tabella 9,Raccolta commerciale,2024,40
Kiwi 1,2024-10-02,6.13,RSR,° brix,T2,Tabella 9,Raccolta commerciale,2024,40
Kiwi 1,2024-10-02,18.10,Sostanza secca,%,T0,Tabella 9,Raccolta commerciale,2024,40
Kiwi 1,2024-10-02,18.40,Sostanza secca,%,T1,Tabella 9,Raccolta commerciale,2024,40
Kiwi 1,2024-10-02,18.60,Sostanza secca,%,T2,Tabella 9,Raccolta commerciale,2024,40
Kiwi 1,2024-12-20,100.70,Colore,H angle,T0,Tabella 11,2 mesi di frigo + 3gg shelf life,2024,52
Kiwi 1,2024-12-20,99.40,Colore,H angle,T1,Tabella 11,2 mesi di frigo + 3gg shelf life,2024,52
Kiwi 1,2024-12-20,98.90,Colore,H angle,T2,Tabella 11,2 mesi di frigo + 3gg shelf life,2024,52
Kiwi 1,2024-12-20,0.44,Durezza,Kg FTA,T0,Tabella 11,2 mesi di frigo + 3gg shelf life,2024,52
Kiwi 1,2024-12-20,0.46,Durezza,Kg FTA,T1,Tabella 11,2 mesi di frigo + 3gg shelf life,2024,52
Kiwi 1,2024-12-20,0.50,Durezza,Kg FTA,T2,Tabella 11,2 mesi di frigo + 3gg shelf life,2024,52
Kiwi 1,2024-12-20,0.00,"Durezza (Normale, ≥ 0.8)",%,T0,Tabella 11,2 mesi di frigo + 3gg shelf life,2024,52
Kiwi 1,2024-12-20,0.00,"Durezza (Normale, ≥ 0.8)",%,T1,Tabella 11,2 mesi di frigo + 3gg shelf life,2024,52
Kiwi 1,2024-12-20,1.40,"Durezza (Normale, ≥ 0.8)",%,T2,Tabella 11,2 mesi di frigo + 3gg shelf life,2024,52
Kiwi 1,2024-12-20,93.10,"Durezza (Soft, <0,8 and ≥ 0,2 kg)",%,T0,Tabella 11,2 mesi di frigo + 3gg shelf life,2024,52
Kiwi 1,2024-12-20,100.00,"Durezza (Soft, <0,8 and ≥ 0,2 kg)",%,T1,Tabella 11,2 mesi di frigo + 3gg shelf life,2024,52
Kiwi 1,2024-12-20,97.20,"Durezza (Soft, <0,8 and ≥ 0,2 kg)",%,T2,Tabella 11,2 mesi di frigo + 3gg shelf life,2024,52
Kiwi 1,2024-12-20,6.90,"Durezza (Sovra maturo, < 0,2)",%,T0,Tabella 11,2 mesi di frigo + 3gg shelf life,2024,52
Kiwi 1,2024-12-20,0.00,"Durezza (Sovra maturo, < 0,2)",%,T1,Tabella 11,2 mesi di frigo + 3gg shelf life,2024,52
Kiwi 1,2024-12-20,1.40,"Durezza (Sovra maturo, < 0,2)",%,T2,Tabella 11,2 mesi di frigo + 3gg shelf life,2024,52
Kiwi 1,2024-12-20,15.90,RSR,° brix,T0,Tabella 11,2 mesi di frigo + 3gg shelf life,2024,52
Kiwi 1,2024-12-20,16.40,RSR,° brix,T1,Tabella 11,2 mesi di frigo + 3gg shelf life,2024,52
Kiwi 1,2024-12-20,16.50,RSR,° brix,T2,Tabella 11,2 mesi di frigo + 3gg shelf life,2024,52
Kiwi 1,2024-12-20,18.10,Sostanza secca,%,T0,Tabella 11,2 mesi di frigo + 3gg shelf life,2024,52
Kiwi 1,2024-12-20,19.00,Sostanza secca,%,T1,Tabella 11,2 mesi di frigo + 3gg shelf life,2024,52
Kiwi 1,2024-12-20,19.30,Sostanza secca,%,T2,Tabella 11,2 mesi di frigo + 3gg shelf life,2024,52
Kiwi 1,2024-12-12,99.50,Colore,H angle,T0,Tabella 10,4 mesi di frigo + 24h,2024,50
Kiwi 1,2024-12-12,99.40,Colore,H angle,T1,Tabella 10,4 mesi di frigo + 24h,2024,50
Kiwi 1,2024-12-12,99.60,Colore,H angle,T2,Tabella 10,4 mesi di frigo + 24h,2024,50
Kiwi 1,2024-12-12,0.65,Durezza,Kg FTA,T0,Tabella 10,4 mesi di frigo + 24h,2024,50
Kiwi 1,2024-12-12,0.66,Durezza,Kg FTA,T1,Tabella 10,4 mesi di frigo + 24h,2024,50
Kiwi 1,2024-12-12,0.73,Durezza,Kg FTA,T2,Tabella 10,4 mesi di frigo + 24h,2024,50
Kiwi 1,2024-12-12,12.50,"Durezza (Normale, ≥ 0.8)",%,T0,Tabella 10,4 mesi di frigo + 24h,2024,50
Kiwi 1,2024-12-12,27.80,"Durezza (Normale, ≥ 0.8)",%,T1,Tabella 10,4 mesi di frigo + 24h,2024,50
Kiwi 1,2024-12-12,16.70,"Durezza (Normale, ≥ 0.8)",%,T2,Tabella 10,4 mesi di frigo + 24h,2024,50
Kiwi 1,2024-12-12,86.10,"Durezza (Soft, <0,8 and ≥ 0,2 kg)",%,T0,Tabella 10,4 mesi di frigo + 24h,2024,50
Kiwi 1,2024-12-12,72.20,"Durezza (Soft, <0,8 and ≥ 0,2 kg)",%,T1,Tabella 10,4 mesi di frigo + 24h,2024,50
Kiwi 1,2024-12-12,83.30,"Durezza (Soft, <0,8 and ≥ 0,2 kg)",%,T2,Tabella 10,4 mesi di frigo + 24h,2024,50
Kiwi 1,2024-12-12,1.40,"Durezza (Sovra maturo, < 0,2)",%,T0,Tabella 10,4 mesi di frigo + 24h,2024,50
Kiwi 1,2024-12-12,0.00,"Durezza (Sovra maturo, < 0,2)",%,T1,Tabella 10,4 mesi di frigo + 24h,2024,50
Kiwi 1,2024-12-12,0.00,"Durezza (Sovra maturo, < 0,2)",%,T2,Tabella 10,4 mesi di frigo + 24h,2024,50
Kiwi 1,2024-12-12,15.70,RSR,° brix,T0,Tabella 10,4 mesi di frigo + 24h,2024,50
Kiwi 1,2024-12-12,16.20,RSR,° brix,T1,Tabella 10,4 mesi di frigo + 24h,2024,50
Kiwi 1,2024-12-12,16.00,RSR,° brix,T2,Tabella 10,4 mesi di frigo + 24h,2024,50
Kiwi 1,2024-12-12,18.00,Sostanza secca,%,T0,Tabella 10,4 mesi di frigo + 24h,2024,50
Kiwi 1,2024-12-12,18.80,Sostanza secca,%,T1,Tabella 10,4 mesi di frigo + 24h,2024,50
Kiwi 1,2024-12-12,18.50,Sostanza secca,%,T2,Tabella 10,4 mesi di frigo + 24h,2024,50